CAGDP9 Real GDP by county and metropolitan area 1
CAGDP9 Real GDP by county and metropolitan area 1
County
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
02198,"Prince of Wales-Hyder Census Area, AK*",241824,259028,259823,242922,238950,240661
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02220,"Sitka City and Borough, AK",479694,500425,496709,434428,483863,508340
02230,"Skagway Municipality, AK*",93466,97277,98720,61452,67838,73367
02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02240,"Southeast Fairbanks Census Area, AK",647536,606180,553670,620950,672216,638767
02261,"Valdez-Cordova Census Area, AK*",2138740,2122281,2086984,(NA),(NA),(NA)
02275,"Wrangell City and Borough, AK*",94295,98769,89410,83620,80970,83427
02280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02282,"Yakutat City and Borough, AK*",27126,29304,31958,34027,38084,40204
02290,"Yukon-Koyukuk Census Area, AK",282318,301077,288294,278077,279889,283973
04001,"Apache, AZ",2640484,2672460,2399841,2332203,2344892,2231257
04003,"Cochise, AZ",4585054,4589727,4693345,4987234,4878561,4855020
04005,"Coconino, AZ",7898455,7901190,7675239,6954326,7483588,7696628
04007,"Gila, AZ",1690566,1655213,1646284,1726679,1853702,1799560
04009,"Graham, AZ",970128,993239,1045003,1189701,1360297,1248772
04011,"Greenlee, AZ",1405891,1318779,1305215,1543251,1911407,1600809
04012,"La Paz, AZ",664070,665028,692747,679656,740315,676852
04013,"Maricopa, AZ",237581202,248468203,260460624,263448936,286493701,298240414
04015,"Mohave, AZ",5323399,5437354,5639351,5773611,6269010,6257347
04017,"Navajo, AZ",2901492,3038306,2824979,2759998,2817394,2804006
04019,"Pima, AZ",42330595,43891349,45085532,44978084,47065575,47959709
04021,"Pinal, AZ",8486830,8942159,9139130,9345582,9849538,9982112
04023,"Santa Cruz, AZ",1848358,1958916,1914159,1934498,2013502,2022514
04025,"Yavapai, AZ",7229041,7345912,7388378,7450732,8087008,8092110
04027,"Yuma, AZ",7543432,7522243,7747758,7516153,7658882,8137550
05001,"Arkansas, AR",981778,1024089,1028801,1050529,1155743,1036351
05003,"Ashley, AR",792416,828770,782866,735400,724262,728373
05005,"Baxter, AR",1389921,1512252,1583090,1546043,1592306,1628561
05007,"Benton, AR",14670030,15166232,15663064,16479460,17989743,18675011
05009,"Boone, AR",1291432,1309651,1305222,1298899,1400918,1412493
05011,"Bradley, AR",330093,347363,332138,327574,341078,334315
05013,"Calhoun, AR",337969,335913,320328,342036,370506,339866
05015,"Carroll, AR",832740,847359,840073,809833,907829,968041
05017,"Chicot, AR",268710,263939,264364,270734,299503,245185
05019,"Clark, AR",778588,805758,788071,775859,778894,751849
05021,"Clay, AR",343738,339596,322000,331722,375143,349451
